,Unnamed: 0,AS,AW,Unnamed: 0.1,date,evening,max,min,morning
122,122.0,0.2,1.2,122.0,1996-05-02,59.2,27.8,15.2,84.0
123,123.0,0.0,1.6,123.0,1996-05-03,46.9,29.7,15.6,73.5
124,124.0,0.0,2.8,124.0,1996-05-04,43.7,31.7,17.0,63.6
125,125.0,0.0,1.6,125.0,1996-05-05,32.3,32.2,17.1,62.8
126,126.0,0.0,1.9,126.0,1996-05-06,60.1,32.4,15.2,50.4
127,127.0,0.0,3.3,127.0,1996-05-07,57.1,30.7,16.6,60.7
128,128.0,0.0,3.1,128.0,1996-05-08,42.4,30.8,14.5,61.3
129,129.0,0.0,1.3,129.0,1996-05-09,33.8,31.5,15.6,62.9
130,130.0,0.0,2.1,130.0,1996-05-10,39.6,33.0,14.8,47.5
131,131.0,0.0,2.2,131.0,1996-05-11,46.6,32.2,15.7,44.5
132,132.0,,2.6,132.0,1996-05-12,54.7,29.3,11.4,57.6
133,133.0,0.0,2.4,133.0,1996-05-13,55.6,30.4,13.3,50.3
134,134.0,0.0,1.4,134.0,1996-05-14,54.1,30.8,14.4,59.1
135,135.0,,2.9,135.0,1996-05-15,81.6,29.0,16.1,74.1
136,136.0,18.2,2.2,136.0,1996-05-16,49.6,29.1,14.8,74.6
137,137.0,1.8,2.2,137.0,1996-05-17,63.1,29.8,12.6,64.1
138,138.0,0.0,2.3,138.0,1996-05-18,45.0,30.3,14.6,59.1
139,139.0,0.0,1.7,139.0,1996-05-19,63.0,30.7,13.4,44.7
140,140.0,0.0,1.7,140.0,1996-05-20,39.2,29.5,13.7,52.4
141,141.0,,2.6,141.0,1996-05-21,48.6,30.9,13.5,50.1
142,142.0,1.6,2.3,142.0,1996-05-22,54.7,30.5,16.2,78.2
143,143.0,0.0,1.8,143.0,1996-05-23,75.7,31.2,18.8,61.1
144,144.0,0.4,2.6,144.0,1996-05-24,67.9,31.9,19.2,70.2
145,145.0,0.0,2.2,145.0,1996-05-25,77.0,32.0,20.3,68.2
146,146.0,0.0,1.7,146.0,1996-05-26,68.3,31.0,18.8,81.1
147,147.0,0.0,3.4,147.0,1996-05-27,45.5,32.4,19.8,70.4
148,148.0,0.0,2,148.0,1996-05-28,55.5,32.8,19.0,51.3
149,149.0,2.4,2.3,149.0,1996-05-29,57.8,32.6,15.3,55.2
150,150.0,11.5,2.4,150.0,1996-05-30,44.5,30.6,14.8,69.6
151,151.0,10.8,2.4,151.0,1996-05-31,82.8,26.4,17.3,77.9
152,152.0,15.4,1.7,152.0,1996-06-01,92.8,26.8,17.0,77.1
153,153.0,21.4,1.4,153.0,1996-06-02,93.8,25.6,15.0,95.3
154,154.0,9.4,2,154.0,1996-06-03,94.1,26.2,13.0,59.1
155,155.0,13.2,1.6,155.0,1996-06-04,65.7,24.5,15.3,81.9
156,156.0,4.2,1.2,156.0,1996-06-05,86.3,25.7,15.2,86.2
157,157.0,15.5,1.2,157.0,1996-06-06,69.0,28.0,12.6,76.0
158,158.0,0.2,2,158.0,1996-06-07,82.6,26.0,17.4,83.2
159,159.0,,1.8,159.0,1996-06-08,76.1,27.5,17.8,71.6
160,160.0,,1.4,160.0,1996-06-09,62.1,29.3,19.3,68.7
161,161.0,0.0,1.3,161.0,1996-06-10,56.1,30.5,18.6,78.7
162,162.0,2.4,1.9,162.0,1996-06-11,65.2,27.6,19.3,93.6
163,163.0,3.6,1,163.0,1996-06-12,85.2,27.9,19.3,67.7
164,164.0,10.6,1.1,164.0,1996-06-13,69.8,29.8,19.2,83.7
165,165.0,0.0,1.8,165.0,1996-06-14,86.0,29.5,18.8,88.2
166,166.0,1.8,1.5,166.0,1996-06-15,57.8,28.8,17.9,73.5
167,167.0,4.8,1.9,167.0,1996-06-16,69.0,29.4,19.7,82.0
168,168.0,0.7,1.6,168.0,1996-06-17,62.6,29.1,21.0,70.9
169,169.0,0.8,1.4,169.0,1996-06-18,76.4,28.0,20.8,74.1
170,170.0,12.6,0.7,170.0,1996-06-19,64.2,30.0,20.3,83.8
171,171.0,3.2,1.4,171.0,1996-06-20,77.0,30.2,19.8,73.8
172,172.0,49.0,1.5,172.0,1996-06-21,86.7,28.9,19.9,80.9
173,173.0,71.0,1.3,173.0,1996-06-22,82.4,28.0,19.9,88.2
174,174.0,1.0,0.7,174.0,1996-06-23,70.6,27.2,21.2,91.6
175,175.0,35.2,1,175.0,1996-06-24,89.8,25.1,20.3,89.2
176,176.0,17.0,1,176.0,1996-06-25,76.6,28.6,20.6,76.3
177,177.0,,1.2,177.0,1996-06-26,83.6,27.8,20.9,91.5
178,178.0,0.8,1.2,178.0,1996-06-27,91.5,28.3,20.0,76.2
179,179.0,14.0,1.1,179.0,1996-06-28,86.2,27.4,21.0,75.1
180,180.0,5.0,0.8,180.0,1996-06-29,93.0,25.6,20.4,94.8
181,181.0,25.0,0.7,181.0,1996-06-30,90.4,21.5,19.5,96.4
182,182.0,10.0,0.5,182.0,1996-07-01,70.0,27.9,19.7,79.9
183,183.0,0.6,0.9,183.0,1996-07-02,64.4,29.3,20.4,79.2
184,184.0,0.0,0.7,184.0,1996-07-03,69.4,28.8,19.3,76.3
185,185.0,,0.9,185.0,1996-07-04,76.2,28.9,20.8,82.5
186,186.0,,1.7,186.0,1996-07-05,70.8,28.5,18.9,80.6
187,187.0,26.4,0.6,187.0,1996-07-06,72.6,28.9,20.1,85.2
188,188.0,1.6,1.5,188.0,1996-07-07,74.1,28.5,20.3,83.8
189,189.0,3.2,1.7,189.0,1996-07-08,80.6,27.8,20.6,73.4
190,190.0,10.4,1.4,190.0,1996-07-09,90.0,27.8,20.2,88.1
191,191.0,,0.8,191.0,1996-07-10,75.9,27.2,20.6,83.9
192,192.0,1.9,0.9,192.0,1996-07-11,79.9,24.8,21.3,83.0
193,193.0,12.2,0.8,193.0,1996-07-12,96.4,26.2,20.6,93.1
194,194.0,12.6,0.7,194.0,1996-07-13,95.6,26.8,20.3,91.4
195,195.0,63.5,0.8,195.0,1996-07-14,97.3,22.3,20.3,97.3
196,196.0,54.0,0.2,196.0,1996-07-15,79.4,27.0,18.8,91.2
197,197.0,11.5,0.5,197.0,1996-07-16,83.6,26.4,20.1,91.4
198,198.0,23.2,0.5,198.0,1996-07-17,90.6,25.7,20.4,90.0
199,199.0,4.8,0.6,199.0,1996-07-18,83.6,25.2,20.1,93.0
200,200.0,0.4,0.8,200.0,1996-07-19,71.4,27.2,19.8,91.4
201,201.0,6.0,0.9,201.0,1996-07-20,68.7,27.0,20.0,93.8
202,202.0,,1,202.0,1996-07-21,82.3,29.3,19.4,72.5
203,203.0,20.2,1,203.0,1996-07-22,66.8,29.2,21.2,78.5
204,204.0,,1.6,204.0,1996-07-23,74.6,28.6,21.2,89.1
205,205.0,0.3,1.3,205.0,1996-07-24,72.3,27.4,21.3,82.5
206,206.0,11.4,1.1,206.0,1996-07-25,68.6,29.7,20.2,87.7
207,207.0,2.4,0.8,207.0,1996-07-26,72.3,30.0,21.0,87.0
208,208.0,1.6,0.9,208.0,1996-07-27,88.2,27.8,20.8,84.0
209,209.0,0.6,2.3,209.0,1996-07-28,80.5,27.8,20.9,88.1
210,210.0,8.0,0.9,210.0,1996-07-29,86.2,25.2,20.3,88.9
211,211.0,24.1,0.3,211.0,1996-07-30,79.8,29.1,20.9,97.4
212,212.0,7.6,1,212.0,1996-07-31,82.8,29.1,21.5,91.6
213,213.0,25.4,1.5,213.0,1996-08-01,76.6,28.4,20.0,84.2
214,214.0,27.4,1.1,214.0,1996-08-02,86.9,28.4,20.3,82.9
215,215.0,3.4,1.5,215.0,1996-08-03,82.3,27.8,19.5,89.9
216,216.0,5.8,1.5,216.0,1996-08-04,76.2,28.8,20.5,82.3
217,217.0,0.1,2,217.0,1996-08-05,77.4,29.2,20.3,80.5
218,218.0,2.2,2.2,218.0,1996-08-06,81.3,27.5,20.3,91.0
219,219.0,34.4,0.8,219.0,1996-08-07,82.6,27.0,20.6,93.2
220,220.0,7.4,0.2,220.0,1996-08-08,71.7,26.5,20.8,93.2
221,221.0,20.9,0.9,221.0,1996-08-09,84.8,28.4,20.0,87.5
222,222.0,10.2,1.2,222.0,1996-08-10,78.2,29.0,20.5,88.3
223,223.0,8.1,1.5,223.0,1996-08-11,79.8,28.9,20.2,90.7
224,224.0,15.4,0.6,224.0,1996-08-12,94.8,25.6,20.3,93.1
225,225.0,72.7,0.7,225.0,1996-08-13,96.4,23.6,17.9,88.0
226,226.0,27.1,0.4,226.0,1996-08-14,91.3,24.0,19.3,91.4
227,227.0,5.2,0.5,227.0,1996-08-15,86.6,27.5,19.4,94.8
228,228.0,8.7,1.9,228.0,1996-08-16,77.5,28.0,19.2,82.8
229,229.0,51.6,1.1,229.0,1996-08-17,81.1,28.5,19.3,89.7
230,230.0,18.5,1.3,230.0,1996-08-18,84.6,28.3,19.0,86.5
231,231.0,0.8,1.4,231.0,1996-08-19,76.1,28.9,20.4,76.4
232,232.0,,1.3,232.0,1996-08-20,78.5,28.2,19.9,81.3
233,233.0,,1.3,233.0,1996-08-21,74.5,28.8,18.8,80.6
234,234.0,1.5,1.3,234.0,1996-08-22,96.4,26.3,18.7,92.1
235,235.0,7.4,0.9,235.0,1996-08-23,89.5,28.3,18.8,83.3
236,236.0,0.3,1.2,236.0,1996-08-24,73.1,29.0,19.3,89.7
237,237.0,,1.1,237.0,1996-08-25,81.0,30.5,20.8,77.9
238,238.0,0.6,1.2,238.0,1996-08-26,96.4,30.0,20.5,89.1
239,239.0,48.0,1.1,239.0,1996-08-27,70.4,29.0,18.8,89.7
240,240.0,13.0,0.8,240.0,1996-08-28,98.2,28.7,18.9,82.6
241,241.0,54.0,1.6,241.0,1996-08-29,88.2,24.1,19.8,87.9
242,242.0,11.4,0.3,242.0,1996-08-30,72.7,26.8,19.6,97.3
243,243.0,4.0,0.9,243.0,1996-08-31,84.3,27.4,19.8,91.3
244,244.0,6.8,1.2,244.0,1996-09-01,91.2,24.8,19.2,90.3
245,245.0,5.8,0.8,245.0,1996-09-02,72.3,25.5,19.0,89.7
246,246.0,27.0,0.8,246.0,1996-09-03,86.7,27.5,17.3,83.4
247,247.0,7.2,0.6,247.0,1996-09-04,87.9,26.0,19.6,91.4
248,248.0,3.9,0.6,248.0,1996-09-05,96.5,26.7,19.3,73.4
249,249.0,6.6,0.8,249.0,1996-09-06,72.4,26.2,18.7,86.2
250,250.0,20.8,1,250.0,1996-09-07,78.9,26.3,19.0,86.2
251,251.0,,0.9,251.0,1996-09-08,84.1,27.6,19.1,85.5
252,252.0,7.4,0.8,252.0,1996-09-09,82.9,28.7,19.0,84.8
253,253.0,7.6,1.1,253.0,1996-09-10,83.6,27.4,19.3,86.5
254,254.0,9.2,0.5,254.0,1996-09-11,98.2,29.2,19.0,85.9
255,255.0,31.6,0.7,255.0,1996-09-12,80.0,26.1,19.0,89.7
256,256.0,,0.5,256.0,1996-09-13,91.0,29.3,19.1,94.7
257,257.0,0.8,0.7,257.0,1996-09-14,72.5,28.8,17.8,89.6
258,258.0,1.4,0.9,258.0,1996-09-15,82.5,26.5,17.0,83.1
259,259.0,0.0,0.2,259.0,1996-09-16,71.0,30.0,19.3,90.4
260,260.0,0.0,0.4,260.0,1996-09-17,76.7,30.0,17.5,86.3
261,261.0,6.5,0.9,261.0,1996-09-18,74.6,29.5,18.8,91.2
262,262.0,0.0,1.2,262.0,1996-09-19,66.3,29.2,16.9,79.7
263,263.0,0.0,1.1,263.0,1996-09-20,62.8,28.4,15.0,85.0
264,264.0,,1.2,264.0,1996-09-21,94.7,29.3,16.7,81.5
265,265.0,3.3,1,265.0,1996-09-22,79.9,28.1,19.2,85.1
266,266.0,5.2,0.9,266.0,1996-09-23,64.4,29.3,19.4,87.9
267,267.0,2.9,0.9,267.0,1996-09-24,83.6,28.0,19.8,91.4
268,268.0,5.3,0.7,268.0,1996-09-25,77.9,26.0,19.2,94.6
269,269.0,,0.6,269.0,1996-09-26,74.3,26.4,19.7,84.2
270,270.0,36.6,0.6,270.0,1996-09-27,81.7,27.8,18.2,91.9
271,271.0,11.4,0.9,271.0,1996-09-28,85.4,25.7,18.5,94.6
272,272.0,,0.7,272.0,1996-09-29,73.7,27.8,18.4,80.1
273,273.0,0.0,1,273.0,1996-09-30,73.9,28.7,18.8,88.0
274,274.0,0.0,1.1,274.0,1996-10-01,76.0,29.2,17.6,89.5
275,275.0,,1.4,275.0,1996-10-02,73.6,28.0,17.3,85.7
276,276.0,0.0,0.9,276.0,1996-10-03,94.6,29.2,16.9,85.5
277,277.0,2.8,0.9,277.0,1996-10-04,94.4,23.5,17.1,93.5
278,278.0,27.6,0.6,278.0,1996-10-05,91.6,21.0,15.9,93.2
279,279.0,21.4,0.7,279.0,1996-10-06,81.2,23.9,16.2,92.6
280,280.0,,0.7,280.0,1996-10-07,72.8,28.0,16.0,84.9
281,281.0,0.0,1.1,281.0,1996-10-08,77.4,27.5,15.8,82.3
282,282.0,0.0,1.2,282.0,1996-10-09,67.4,27.3,15.1,90.8
283,283.0,0.0,1.4,283.0,1996-10-10,66.5,26.2,12.0,90.4
284,284.0,0.0,0.9,284.0,1996-10-11,72.1,26.1,12.6,78.8
285,285.0,0.0,1,285.0,1996-10-12,75.0,26.6,12.0,89.7
286,286.0,0.0,0.8,286.0,1996-10-13,90.4,27.5,12.7,90.4
287,287.0,0.0,1.1,287.0,1996-10-14,68.9,27.0,12.2,91.9
288,288.0,0.0,1,288.0,1996-10-15,81.1,25.6,12.6,83.4
289,289.0,0.0,1.1,289.0,1996-10-16,62.7,26.5,10.2,85.9
290,290.0,0.0,1,290.0,1996-10-17,66.1,26.5,10.5,88.9
291,291.0,0.0,0.9,291.0,1996-10-18,68.0,27.6,10.9,93.7
292,292.0,0.0,0.9,292.0,1996-10-19,69.2,28.0,11.6,93.8
293,293.0,0.0,0.8,293.0,1996-10-20,71.7,28.0,11.9,93.9
294,294.0,0.0,0.9,294.0,1996-10-21,61.6,27.8,11.2,88.0
295,295.0,0.0,0.6,295.0,1996-10-22,58.7,26.9,10.8,94.7
296,296.0,0.0,1.3,296.0,1996-10-23,69.9,22.4,13.4,87.9
297,297.0,0.0,0.4,297.0,1996-10-24,72.7,24.9,12.0,96.8
298,298.0,,0.4,298.0,1996-10-25,88.5,21.0,15.2,87.4
299,299.0,0.6,0.5,299.0,1996-10-26,74.2,22.5,14.5,94.0
300,300.0,,0.4,300.0,1996-10-27,74.6,26.6,12.4,89.8
301,301.0,0.0,0.7,301.0,1996-10-28,89.8,25.0,14.6,86.6
302,302.0,,0.7,302.0,1996-10-29,88.4,24.5,14.0,94.0
303,303.0,0.0,0.9,303.0,1996-10-30,87.2,26.5,14.3,94.0
304,304.0,0.0,0.9,304.0,1996-10-31,73.1,26.5,13.6,81.6
305,305.0,0.0,0.8,305.0,1996-11-01,75.3,26.9,14.3,87.7
306,306.0,0.0,0.8,306.0,1996-11-02,84.3,27.5,13.2,97.9
307,307.0,0.0,0.9,307.0,1996-11-03,73.0,27.2,11.2,98.9
308,308.0,0.0,0.8,308.0,1996-11-04,58.1,27.8,9.6,84.0
309,309.0,0.0,1,309.0,1996-11-05,57.9,28.0,9.6,83.4
310,310.0,0.0,0.7,310.0,1996-11-06,74.1,27.5,9.5,86.5
311,311.0,0.0,0.9,311.0,1996-11-07,65.0,26.0,9.0,87.2
312,312.0,0.0,0.9,312.0,1996-11-08,73.5,24.8,8.0,76.5
313,313.0,0.0,1.6,313.0,1996-11-09,69.7,25.5,6.6,84.0
314,314.0,0.0,1,314.0,1996-11-10,77.8,25.0,8.1,95.4
315,315.0,0.0,1.1,315.0,1996-11-11,77.2,25.0,10.0,98.9
316,316.0,0.0,2.1,316.0,1996-11-12,72.3,25.0,9.0,97.7
317,317.0,0.0,0.7,317.0,1996-11-13,67.2,24.4,8.1,93.3
318,318.0,0.0,0.5,318.0,1996-11-14,78.8,24.6,8.5,95.5
319,319.0,0.0,1,319.0,1996-11-15,78.8,24.4,8.0,98.8
320,320.0,0.0,1,320.0,1996-11-16,73.9,24.4,8.4,95.4
321,321.0,0.0,1,321.0,1996-11-17,71.3,23.1,9.2,93.2
322,322.0,0.0,1.1,322.0,1996-11-18,80.6,24.0,9.1,86.9
323,323.0,0.0,1,323.0,1996-11-19,75.2,23.0,7.5,98.8
324,324.0,0.0,1,324.0,1996-11-20,84.7,24.3,10.2,88.3
325,325.0,0.0,1,325.0,1996-11-21,79.0,24.2,8.1,93.1
326,326.0,0.0,1.6,326.0,1996-11-22,72.8,24.5,4.6,96.0
327,327.0,0.0,1.1,327.0,1996-11-23,93.7,23.2,4.1,87.4
328,328.0,0.0,0.7,328.0,1996-11-24,79.6,22.6,6.6,95.2
329,329.0,0.0,1.6,329.0,1996-11-25,76.6,22.5,6.2,100.0
330,330.0,0.0,0.7,330.0,1996-11-26,73.7,22.1,9.0,89.6
331,331.0,0.0,0.4,331.0,1996-11-27,85.3,22.0,8.2,89.6
332,332.0,0.0,0.3,332.0,1996-11-28,66.8,21.2,4.5,97.2
333,333.0,0.0,2.5,333.0,1996-11-29,76.6,21.5,4.3,100.0
334,334.0,0.0,1.9,334.0,1996-11-30,72.3,20.6,4.2,98.6
335,335.0,0.0,0.2,335.0,1996-12-01,61.3,21.7,3.0,97.3
336,336.0,0.0,1.1,336.0,1996-12-02,64.0,21.9,3.2,92.9
337,337.0,0.0,1,337.0,1996-12-03,66.7,23.5,3.2,90.3
338,338.0,0.0,0.9,338.0,1996-12-04,48.9,23.5,2.7,94.6
339,339.0,0.0,0.8,339.0,1996-12-05,53.9,23.5,1.5,92.6
340,340.0,0.0,1,340.0,1996-12-06,60.7,22.2,1.1,80.7
341,341.0,0.0,0.9,341.0,1996-12-07,68.2,21.5,1.5,92.6
342,342.0,0.0,1,342.0,1996-12-08,62.6,21.8,1.7,91.4
343,343.0,0.0,1.1,343.0,1996-12-09,64.3,21.0,2.2,98.5
